id	name	start_us	end_us
A	Initial SPA load	1778220482185919	1778220486396265
L	Reload kanban	1778220486416785	1778220490619036
B	Switch to List view	1778220510324190	1778220514588872
C	Open Monitor	1778220515991318	1778220520196688
D	Open Settings	1778220521579845	1778220525782786
E	Open issue detail	1778220526991446	1778220531198404
F	Search/filter	1778220532560369	1778220536747543
G	Workspace switch HAPPY->DEMO (direct)	1778220598839691	1778220603054683
H	Create issue (submit)	1778220609280241	1778220613476303
I	Add repo	1778220618371255	1778220622571795
J	Create agent (submit)	1778220627485467	1778220631700038
K	Create workspace TRACEMAP	1778220687110111	1778220691292421
