Story ID	Area	Feature	User story	Expected behavior	Code refs	Automated coverage	Test status	Defect status	Priority	Notes
LCLI-DV-001	Delivery Visibility	CLI queue and monitor read views	As a Staff / Tech Lead, I want CLI queue views for ready, blocked, review, show, and monitor state, so I can assess delivery health without opening the browser.	Read-only data commands apply status, type, parent, assignee, and output-format filters without mutating issue state; monitor output summarizes active work and queue health.	internal/cli/data/list.go; internal/cli/data/show.go; internal/cli/data/ready.go; internal/cli/data/blocked.go; internal/cli/data/monitor.go; internal/backend/issuebackend.go; internal/backend/fleet/fleet.go	internal/cli/data/list_test.go; internal/cli/data/show_test.go; internal/cli/data/monitor_test.go	Automated coverage found; not run	None logged	P0	Recovered from the old data-read row; split out of broad backlog visibility.
LCLI-DV-002	Delivery Visibility	Kanban, list, and table delivery views	As an Engineering Manager, I want kanban, list, and table views to present the same backlog state, so I can scan delivery progress in the format that fits the review.	Views share issue data, status buckets, grouping, sorting, selection, and route state without dropping active filters or hiding ready, blocked, review, open, or closed work.	internal/webui/frontend/src/views/KanbanPage.tsx; internal/webui/frontend/src/views/ListPage.tsx; internal/webui/frontend/src/views/TablePage.tsx; internal/webui/frontend/src/components/SwimLaneBoard/SwimLaneBoard.tsx; internal/webui/frontend/src/components/table/IssueTable.tsx	test/fleetdb/ui/01-kanban.spec.ts; test/fleetdb/ui/02-table.spec.ts; internal/webui/frontend/src/views/__tests__/KanbanPage.test.tsx; internal/webui/frontend/src/views/__tests__/TablePage.test.tsx; internal/webui/frontend/src/components/table/IssueTable.test.tsx	Automated coverage found; not run; Needs coverage	None logged	P0	List view still needs focused coverage.
LCLI-DV-003	Delivery Visibility	Workspace repository scope visibility	As an Engineering Manager, I want delivery views scoped by workspace repository and saved context, so I can compare progress across repos without losing navigation state.	Workspace tree and repo filters load registered repos, filter issues by repo/path, preserve selected context, and keep route/query state stable across views.	internal/webui/frontend/src/components/WorkspaceTree/WorkspaceTree.tsx; internal/webui/frontend/src/hooks/workspace/useWorkspaceTree.ts; internal/webui/frontend/src/hooks/workspace/useWorkspaceContext.tsx; internal/webui/frontend/src/hooks/workspace/PerWorkspacePrefsProvider.tsx; internal/webui/frontend/src/hooks/workspace/useRepoFilterParam.ts	internal/webui/frontend/src/components/WorkspaceTree/__tests__/WorkspaceTree.test.tsx; internal/webui/frontend/src/hooks/workspace/__tests__/useWorkspaceTree.test.ts; internal/webui/frontend/src/hooks/workspace/__tests__/useWorkspaceContext.test.tsx; internal/webui/frontend/src/hooks/workspace/__tests__/useRepoFilter.test.ts; internal/webui/frontend/src/hooks/workspace/__tests__/useRepoFilterParam.test.ts	Automated coverage found; not run; Manual pending	None logged	P1	Manual usability pass should verify large multi-repo workspaces remain scannable.
LCLI-DV-004	Delivery Visibility	Search, filters, grouping, and shareable views	As a Staff / Tech Lead, I want search, filters, grouping, and repo scope to round-trip through URLs, so I can share focused delivery views with other leads.	Search text, labels, priority/type filters, repo selection, grouping, and blocked visibility sync through URL/query state and backend search filters where supported.	internal/webui/frontend/src/components/FilterBar/FilterBar.tsx; internal/webui/frontend/src/components/MoreFiltersMenu/MoreFiltersMenu.tsx; internal/webui/frontend/src/hooks/issues/useFilterState.ts; internal/webui/frontend/src/hooks/issues/useIssueFilter.ts; internal/webui/frontend/src/hooks/workspace/useRepoFilterParam.ts; internal/webui/handlers/issues/search.go; internal/webui/handlers/issues/parse.go	test/fleetdb/ui/13-search.spec.ts; internal/webui/frontend/src/components/FilterBar/__tests__/FilterBar.test.tsx; internal/webui/frontend/src/hooks/issues/__tests__/useFilterState.test.ts; internal/webui/frontend/src/hooks/issues/__tests__/useIssueFilter.test.ts; internal/webui/frontend/src/hooks/workspace/__tests__/useRepoFilterParam.test.ts; internal/webui/handlers/issues/search_test.go	Automated coverage found; not run	None logged	P1	Validate deep-link compatibility when adding new filters.
LCLI-DV-005	Delivery Visibility	Blocker graph visibility	As a Staff / Tech Lead, I want blocked work visualized as a dependency graph, so I can decide which blockers are constraining delivery.	Graph and blocked-summary surfaces render dependency relationships, blocked issue chains, ready highlighting, and dense blocker states without requiring manual issue-by-issue inspection.	internal/webui/frontend/src/components/GraphView/GraphView.tsx; internal/webui/frontend/src/components/BlockedSummary/BlockedSummary.tsx; internal/webui/frontend/src/hooks/issues/useBlockedChain.ts; internal/webui/frontend/src/hooks/issues/useBlockedIssues.ts; internal/webui/handlers/issues/deps.go	test/fleetdb/ui/03-graph.spec.ts; test/fleetdb/ui/08-dependencies.spec.ts; internal/webui/frontend/src/components/GraphView/__tests__/GraphView.test.tsx; internal/webui/frontend/src/components/BlockedSummary/__tests__/BlockedSummary.test.tsx; internal/webui/handlers/issues/deps_test.go	Automated coverage found; not run; Manual pending	None logged	P0	Split visibility from dependency editing.
LCLI-DV-006	Delivery Visibility	Realtime delivery updates and stale-state recovery	As an Engineering Manager, I want delivery views to update when agents or teammates change issues, so decisions are not based on stale queue state.	SSE subscriptions connect per workspace, reconnect with backoff, apply issue events idempotently, and surface connection errors or stale-state signals in the UI.	internal/webui/frontend/src/api/common/sse.ts; internal/webui/frontend/src/hooks/common/useEventProvider.tsx; internal/webui/server/realtime/handler.go; internal/webui/subscription/module.go	test/fleetdb/ui/09-sse-realtime.spec.ts; test/fleetdb/ui/10-sse-reconnect.spec.ts; internal/webui/frontend/src/api/common/__tests__/sse.test.ts; internal/webui/frontend/src/hooks/common/__tests__/useEventProvider.test.tsx; internal/webui/server/realtime/handler_test.go	Automated coverage found; not run; Manual pending	None logged	P0	Realtime freshness is a delivery risk surface, not just frontend plumbing.
LCLI-DV-007	Delivery Visibility	Agent and queue readiness status	As an Engineering Manager, I want agent, queue, and workspace-readiness status in one operational view, so I can tell whether work is actually able to move.	Workspace diagnostics, monitor, and agent detail surfaces report backend reachability, local runtime health, agent/worktree readiness, queue state, assigned work, stale data, and task-run retry or scheduling state.	internal/cli/workspace/ops_cmd.go; internal/ops/workspace.go; internal/cli/data/monitor.go; internal/webui/frontend/src/components/MonitorDashboard/MonitorDashboard.tsx; internal/webui/frontend/src/views/AgentsPage.tsx; internal/webui/frontend/src/components/AgentDetailPanel/AgentDetailPanel.tsx; internal/driver/task_scheduling.go	test/fleetdb/ui/04-monitor.spec.ts; test/fleetdb/ui/18-agents-fleetdb.spec.ts; internal/cli/workspace/ops_cmd_test.go; internal/cli/workspace/local_runtime_e2e_test.go; internal/cli/data/monitor_test.go; internal/webui/frontend/src/components/MonitorDashboard/__tests__/MonitorDashboard.test.tsx; internal/webui/frontend/src/components/AgentDetailPanel/AgentDetailPanel.test.tsx; internal/driver/task_worker_test.go	Automated coverage found; not run; Manual pending	None logged	P0	Live local-mode validation should follow .agent-skills/loom-pr-test/SKILL.md.
LCLI-DV-008	Delivery Visibility	Review readiness summary	As an Engineering Manager, I want review queues, comments, activity, sessions, and PR state tied to Loom issues, so I can see what is ready for acceptance and what evidence exists.	Review pages list Loom review issues and PR-linked work with GitHub enrichment when available; issue detail surfaces comments, lifecycle events, session history, transcripts, and diffs as handoff evidence.	internal/webui/frontend/src/views/PRsPage.tsx; internal/webui/frontend/src/views/PRReviewWorkspace.tsx; internal/webui/handlers/git/pull_requests.go; internal/webui/handlers/issues/comments.go; internal/webui/handlers/issues/events.go; internal/webui/handlers/issues/session_history.go; internal/webui/frontend/src/components/IssueDetailPanel/sessions/SessionHistorySection.tsx	internal/webui/frontend/src/views/__tests__/PRsPage.test.ts; internal/webui/frontend/src/views/__tests__/PRReviewWorkspace.test.tsx; internal/cli/git/pr_list_test.go; internal/webui/handlers/issues/comments_test.go; internal/webui/handlers/issues/events_test.go; internal/webui/handlers/issues/session_history_test.go; internal/webui/frontend/src/components/IssueDetailPanel/sessions/__tests__/SessionHistorySection.test.tsx; test/fleetdb/ui/07-comments.spec.ts	Automated coverage found; not run; Live account manual pending	None logged	P1	GitHub enrichment needs credentials for live validation.
LCLI-WP-001	Work Planning	Duplicate-safe work item intake	As a Staff / Tech Lead, I want to create issues with clear planning fields and duplicate protection, so new work enters the queue with enough context to assign.	Create flows validate required fields, support idempotency and soft-duplicate handling, and persist title, type, priority, labels, parent, repo, estimates, due dates, design notes, and acceptance criteria.	internal/cli/data/create.go; internal/cli/data/idempotency.go; internal/webui/handlers/issues/write_ops.go; internal/webui/frontend/src/components/CreateIssueModal/CreateIssueModal.tsx; internal/webui/frontend/src/hooks/issues/useInlineCreate.ts	internal/cli/data/create_test.go; internal/cli/data/idempotency_test.go; internal/webui/handlers/issues/write_test.go; internal/webui/frontend/src/components/CreateIssueModal/__tests__/CreateIssueModal.test.tsx; internal/webui/frontend/src/hooks/issues/__tests__/useInlineCreate.test.ts; test/fleetdb/ui/10-create-flow.spec.ts	Automated coverage found; not run	None logged	P0	Split out from broad intake/lifecycle row.
LCLI-WP-002	Work Planning	Planning metadata and lifecycle edits	As a Staff / Tech Lead, I want to edit planning metadata and lifecycle state from CLI or UI, so work stays accurate as scope changes.	Update and detail flows preserve optimistic update semantics, status transitions, close and reopen behavior, descriptions, design notes, acceptance criteria, labels, priority, and error recovery.	internal/cli/data/update.go; internal/cli/data/close.go; internal/webui/handlers/issues/write_ops.go; internal/webui/frontend/src/components/IssueDetailPanel/IssueDetailPanel.tsx; internal/webui/frontend/src/components/StatusDropdown/StatusDropdown.tsx; internal/webui/frontend/src/components/IssueDetailPanel/sections/DesignPanel.tsx	internal/cli/data/update_test.go; internal/webui/handlers/issues/write_test.go; internal/webui/frontend/src/components/IssueDetailPanel/__tests__/IssueDetailPanel.test.tsx; internal/webui/frontend/src/components/StatusDropdown/__tests__/StatusDropdown.test.tsx; internal/webui/frontend/src/components/IssueDetailPanel/sections/__tests__/DesignPanel.test.tsx; test/fleetdb/ui/11-update-flow.spec.ts; test/fleetdb/ui/12-close-reopen-flow.spec.ts	Automated coverage found; not run	None logged	P0	Keep lifecycle edits distinct from new issue intake.
